"2","2","hours new london duke uk"
"2","4","horizon coalition still torn kingdom"
"2","6","salute met time house charlotte"
"2","7","highness tower line honourable queen"
"2","9","hopes enough reclaim today unionist"
"3","7","support camerons unionist near achieving"
"3","8","us first getting light tenet"
"3","10","least holes see brighter gravity"
"4","4","anticipate possible side falling astronomers"
"4","9","dust around hole floating using"
"5","5","well part runner violent black"
"6","10","farage disappointing standing referendum hopes"
"7","7","leaving mark line fire new"
"8","8","einsteins according bright acme black"
"9","10","tried difference atom gathered telescope"
"10","10","shadow gravity say massive implodes"
